Kris Letang
Nathan MacKinnon
Mark Scheifele
Sidney Crosby
Connor Hellebuyck
Darnell Nurse
Morgan Rielly
Alex Killorn
Evgeny Kuznetsov
Kasperi Kapanen
Mitchell Marner
Keith Yandle
Ryan Nugent-Hopkins
Jeff Carter
Phil Kessel



Vitaly Abramov
German Rubtsov
Riley Tufte
Adam Mascherin

Mitchell Vande Sompel
Cam Dineen
Matthew Strome
Rasmus Kupari
Jonatan Berggren
Akil Thomas
Jonathan Tychonick
Conor Timmins
Nick Henry
Mason Shaw
anttoni honka
patrik puistola
Jeremie Poirier
Nils Lundkvist
Connor McDavid
Andrei Svechnikov
John Klingberg
Jack Roslovic
Neal Pionk
Jordan Greenway
Timo Meier
Joonas Donskoi
Jakob Chychrun
Calle Jarnkrok
Miro Heiskanen
Miles Wood
Elias Pettersson
Mike Reilly
Jake DeBrusk
Martin Necas


Morgan Geekie
Noah Gregor



Logan Stanley
Michael Rasmussen
Timothy Liljegren
K'Andre Miller
Filip Hallander
Casey Mittelstadt
Lias Andersson
Dylan cozens
alexander chmelevski
pavel dorofeyev
cayden primeau
Cole Perfetti
Jan Jenik
Justin Barron
Jacob Perreault
Matias Maccelli
Jack Rathbone
Luke Evangelista
Brock Faber
Noah Juulsen
Sami Niku










































































































































































































